목요일-연애혁명,목요일-롤랑롤랑,금요일-고래별,금요일-외모지상주의,수요일-고수,수요일-귀곡의문,월요일-뷰티풀군바리,월요일-유일무이로맨스,일요일-싸움독학,일요일-이번생도잘부탁해,토요일-어글리후드,토요일-호랑이형님,화요일-숲속의담,화요일-여신강림
"('좋아하니까', 2)","('있으니', 1)","('아프겠다', 1)","('변한거라고', 1)","('좋지만', 1)","('확실히', 1)","('여전히', 1)","('같긴', 1)","('있다는', 1)",,"('대단하신데요', 1)","('당한다며', 1)","('좋아하는', 1)","('좋아해써', 1)"
"('새로', 2)","('가깝고', 1)","('이렇게나마', 1)","('무거운', 1)","('그러고', 1)","('없다', 1)","('시리구요', 1)","('많은', 1)","('어떤', 1)",,"('사악한가', 1)","('당하냐', 1)","('무리가시지', 1)","('같음', 1)"
"('자림이에게', 2)","('가까워서', 1)","('친한', 1)","('없이도', 1)","('괜찮지만', 1)","('영원히', 1)","('저렇게도', 1)","('좋지', 1)","('불가능했어요', 1)",,"('새로', 1)","('없게', 1)","('미친', 1)","('길게', 1)"
"('짧게', 2)","('좋으니', 1)","('잘생겨서', 1)","('커다란', 1)","('위험해라고', 1)","('편히', 1)","('싫다이건', 1)","('없으니', 1)","('아프게', 1)",,"('유일한', 1)","('멀쩡해서', 1)","('슬프게', 1)","('행복하자', 1)"
"('짧은', 2)","('우월하다', 1)","('예뻐', 1)","('없어도', 1)","('야할듯', 1)","('있었나', 1)","('나쁠거', 1)","('있다고', 1)","('필요할', 1)",,"('끝내주네', 1)","('잔인한', 1)","('즐거워', 1)","('길었고', 1)"
"('훌륭한', 2)","('쉬운', 1)","('잘생겼구', 1)","('있다는거', 1)","('예쁩니다', 1)","('새로', 1)","('없을거', 1)","('교묘하게', 1)","('있거든', 1)",,"('아닐까', 1)","('미친거아니냐', 1)","('아쉽다고', 1)","('무서워서', 1)"
"('암담하다', 1)","('없으면', 1)","('좋겠는데', 1)","('좁다', 1)","('많음', 1)","('쎈거고', 1)","('어색함의', 1)","('강화하는', 1)","('없다내가', 1)",,"('빼어난', 1)","('있다네', 1)","('즐겁게', 1)","('귀엽다', 1)"
"('발랄한', 1)","('다르게', 1)","('행복해져서', 1)","('그렇기에', 1)","('필요할듯', 1)","('자비로운', 1)","('조져줘서', 1)","('아픈', 1)","('귀여워라니', 1)",,"('비상한', 1)","('맑아서', 1)","('재밌어요', 1)","('계시는거야', 1)"
"('높고', 1)","('재밌구먼', 1)","('특별한', 1)","('나란히', 1)","('당하면', 1)","('같으', 1)","('여전하네', 1)","('있었다면', 1)","('싫어서', 1)",,"('길고', 1)","('그렇지', 1)","('다를게', 1)","('있다는', 1)"
"('활기차도', 1)","('가능한', 1)","('예쁜거', 1)","('겸손하더라', 1)","('강하고', 1)","('있지', 1)","('아니에요', 1)","('정당한', 1)","('당함', 1)",,"('용하는', 1)","('그리워하는지', 1)","('끔찍한데', 1)","('빨개지면', 1)"
"('발랄하고', 1)","('안되는데', 1)","('아니에요', 1)","('불과하다', 1)","('같진', 1)","('잘생긴', 1)","('반할것', 1)","('없을거', 1)","('마라', 1)",,"('심한', 1)","('꼴사납게', 1)","('불안한데', 1)","('어떡함', 1)"
"('불편한', 1)","('망한건', 1)","('무사히', 1)","('대단하다', 1)","('조심스러운', 1)","('힘들다', 1)","('선한테도', 1)","('있잖음', 1)","('새로운', 1)",,"('심하게', 1)","('빡쳤다', 1)","('불편한것', 1)","('전화하면서', 1)"
"('유일한', 1)","('비슷하지만', 1)","('멋있어', 1)","('빡쳐서', 1)","('계십니다', 1)","('평범하게', 1)","('저랬을까', 1)","('필요없는데도', 1)","('많으면', 1)",,"('강하고', 1)","('없었단', 1)","('이상해', 1)","('아무렇지도', 1)"
"('안되고', 1)","('친하게', 1)","('힘드시죠', 1)","('단련함', 1)","('건강한', 1)","('없음', 1)","('유일하게', 1)","('절묘하지', 1)","('재밌겠', 1)",,"('옳은', 1)","('빡침', 1)","('저래', 1)","('괜찮게', 1)"
"('그랬고', 1)","('낮아도', 1)","('힘들어여', 1)","('추하다', 1)","('괜찮습니다', 1)","('있다고', 1)","('멋있음', 1)","('확실함', 1)","('다라던', 1)",,"('필요하다', 1)","('많았는지', 1)","('창피하게', 1)","('있나', 1)"
"('가능하', 1)","('안되서', 1)","('힘들어', 1)","('같지', 1)","('즐거웠습니다', 1)","('실패하고', 1)","('없으면', 1)","('비슷하지만', 1)","('직히', 1)",,"('알록달록한', 1)","('빡친', 1)","('망해도', 1)","('있단', 1)"
"('중요할', 1)","('부패한것도', 1)","('야하는거죠', 1)","('낮은', 1)","('간절히', 1)","('아닐까', 1)","('나빠하긴', 1)","('아닌듯', 1)","('이쁨', 1)",,"('많아요', 1)","('미안하겠어', 1)","('역겹다', 1)","('좋겠어', 1)"
"('싫어하는것', 1)","('있으니까', 1)","('그래요', 1)","('궁금한거', 1)","('먼서', 1)","('똑같나', 1)","('착했지', 1)","('빠르게', 1)","('아쉬웠는데', 1)",,"('있었다는거네', 1)","('마라', 1)","('착한', 1)","('아무러치도', 1)"
"('애매하게', 1)","('부패할', 1)","('묵묵히', 1)","('안되는데', 1)","('안된다는거', 1)","('아닙니다', 1)","('편안하게', 1)","('없던', 1)","('반갑습니다', 1)",,"('아니냐는', 1)","('있도록', 1)","('대단한거지', 1)","('있지만', 1)"
"('안될거고', 1)","('부패하면', 1)","('아프고', 1)","('필요했다고', 1)","('대단하고', 1)","('같은데서', 1)","('안타깝네', 1)","('안전하다', 1)","('빨간', 1)",,"('많았는데', 1)","('어줍잖은', 1)","('빨라요', 1)","('있으면서', 1)"
"('없구나', 1)","('쉬워지지', 1)","('안타깝고', 1)","('같은게', 1)","('안타깝습니다', 1)","('많았는데', 1)","('찌질하네', 1)","('어떡해', 1)","('잘생긴거', 1)",,"('착잡하네요', 1)","('말라', 1)","('재미있게', 1)","('좋아했었냐고', 1)"
"('중요한거', 1)","('성공해도', 1)","('짜증나는', 1)","('있다는', 1)","('회복하시고', 1)","('분노하는', 1)","('잘생겼다', 1)","('빨개지는', 1)","('같냐', 1)",,"('끔찍한', 1)","('짠한', 1)","('아니었네', 1)","('밉다', 1)"
"('원하는걸', 1)","('원하는', 1)","('안타깝네', 1)","('야할', 1)","('성장하게', 1)","('싫어했는지', 1)","('반하겠음', 1)","('안될까', 1)","('같은건', 1)",,"('미안하단', 1)","('빠른줄', 1)","('좋았던', 1)","('싫어해서', 1)"
"('좋을것', 1)","('있나', 1)","('아님', 1)","('어렵게', 1)","('상관없으니', 1)","('오죽할까', 1)","('부을듯', 1)","('그래요', 1)","('재미있어서', 1)",,"('연히', 1)","('빠르에게', 1)","('있는것처럼', 1)","('당했으니', 1)"
"('괜찮을것', 1)","('가난해져서', 1)","('좋아하지만', 1)","('필요없이', 1)","('회복하셔서', 1)","('멋있어', 1)","('같은과', 1)","('무서워요', 1)","('있네', 1)",,"('스러워서', 1)","('같으냐', 1)","('식겁했자', 1)","('힘들어하면서', 1)"
"('같기도', 1)","('평등해지자', 1)","('좋아했었는데', 1)","('아프시면', 1)","('아프시다니', 1)","('많았구나', 1)","('잘생겼네', 1)","('부탁드려요', 1)","('신선한', 1)",,"('바빴구나', 1)","('멋있어진다', 1)","('뽀송뽀송한', 1)","('아니겠죠', 1)"
"('쎄게', 1)","('식겁했다', 1)","('없던', 1)","('유명한', 1)","('무겁네요', 1)","('바빠', 1)","('잘생긴', 1)","('무서워여', 1)","('아까운', 1)",,"('기뻐하는', 1)","('없지', 1)","('평화로운', 1)","('좋아하니까', 1)"
"('정신차렸', 1)","('빡쳐서', 1)","('안쓰러워서', 1)","('여전하구먼', 1)","('회복하실', 1)","('필요하신거', 1)","('미쳐도', 1)","('아플텐데', 1)",,,"('아파요', 1)","('아파서', 1)","('따뜻한것', 1)","('잘생겨', 1)"
"('야무지게', 1)","('없었다', 1)","('짧게', 1)","('엄청난', 1)","('아픈', 1)","('있으세요', 1)","('단단하', 1)","('아니다', 1)",,,"('힘들었어요', 1)","('좁아진', 1)","('활기차서', 1)","('잘생겨진', 1)"
"('곤란해', 1)","('정신차려', 1)","('무섭게', 1)","('멀쩡하지못', 1)","('좋아하시는', 1)","('계십니다', 1)","('뻔했는데', 1)","('어떡해요', 1)",,,"('아픈', 1)","('똑같고', 1)","('좋고요', 1)","('필요하지', 1)"
"('좋았는데', 1)","('멋짐', 1)","('멋진', 1)","('흉측한', 1)","('피곤한', 1)","('짜릿하다', 1)","('뻔하게', 1)","('귀엽고', 1)",,,"('같은거', 1)","('짠함', 1)","('좋겟네요', 1)","('아픈', 1)"
"('희랑', 1)","('선한', 1)","('미치겠다', 1)","('무사하지못해', 1)","('소소한', 1)","('좋아요', 1)","('같은게', 1)","('매운거', 1)",,,"('미안해', 1)","('그런거였나', 1)","('당연하단', 1)","('가볍게', 1)"
"('미안하', 1)","('필요한건', 1)","('무례한', 1)","('똑같음', 1)","('다양한', 1)","('위험한거', 1)","('그랬나', 1)","('노란', 1)",,,"('다르다는', 1)","('미쳤네', 1)","('처참하게', 1)","('확실히', 1)"
"('미안해하', 1)","('스럽다고', 1)","('없다고', 1)","('착함', 1)","('다양해서', 1)","('아니였잖아', 1)","('잘생겨서', 1)","('이쁘다고', 1)",,,"('확실히', 1)","('확실하네요', 1)","('같냐', 1)","('민감한', 1)"
"('안녕하세요', 1)","('똑똑하고', 1)","('다정하세요', 1)","('없다', 1)","('좋은지는', 1)","('있었던거야', 1)","('있는거면', 1)","('짜증나서', 1)",,,"('대단한것', 1)","('있단', 1)","('귀여운데', 1)","('좋겠습니다', 1)"
"('아까', 1)","('작은', 1)","('없다니까', 1)","('아픈데', 1)","('있다더라', 1)","('완전히', 1)","('반하는', 1)","('필요한거', 1)",,,"('같아라는', 1)","('있기', 1)","('불안하고', 1)","('수상한데', 1)"
"('없었습니다', 1)","('있었으면', 1)","('서먹한데', 1)","('좋아함', 1)","('신중히', 1)","('여린', 1)","('솔직히말', 1)","('고픈', 1)",,,"('없는데', 1)","('그만한', 1)","('싫어하는듯', 1)","('없길', 1)"
"('성급하고', 1)","('당연히', 1)","('차갑게', 1)","('없는게', 1)","('완벽히', 1)","('좋겠음', 1)","('같아서', 1)","('있는듯', 1)",,,"('설레게', 1)","('신비한', 1)","('귀찮아하는', 1)","('아쉬워서', 1)"
"('솔직히말', 1)","('잘생겨놓고', 1)","('없었겠지', 1)","('있긴', 1)","('개운하게', 1)","('친절해', 1)","('아니었으면', 1)","('좋아해서', 1)",,,"('있는게', 1)","('있었다고', 1)","('불안한', 1)","('없는말', 1)"
"('아님난', 1)","('얌전히', 1)","('빡치네', 1)","('못지않게', 1)","('깊숙히', 1)","('미안해', 1)","('좋아한다', 1)","('그런거', 1)",,,"('아까', 1)","('다를게', 1)","('있었을', 1)","('기대했어', 1)"
"('좋을듯', 1)","('좋아', 1)","('솔직히', 1)","('쎄서', 1)","('자세한', 1)","('좋아하는', 1)","('많기를', 1)","('아니죠', 1)",,,"('신기한게', 1)","('춥냐', 1)","('행복해졌음', 1)","('안좋아', 1)"
"('같우', 1)","('귀여우시죠', 1)","('여려서', 1)","('있을것', 1)","('약하지만', 1)","('있는거겠네', 1)","('번하지', 1)","('신기하다고', 1)",,,"('신기함', 1)","('심한줄', 1)","('아니였어', 1)","('이상한거', 1)"
"('없는거지', 1)","('자세히', 1)","('같았는데', 1)","('비린내', 1)","('단순히', 1)","('필요없네', 1)","('식겁했나', 1)","('멋있는', 1)",,,"('당하기만', 1)","('대등하네', 1)","('신나는데', 1)","('아닌가', 1)"
"('없다는거', 1)","('귀여운데요', 1)","('친절하고', 1)","('똑똑한거', 1)","('슬픈', 1)","('무섭다', 1)","('부족한듯', 1)","('신기하네', 1)",,,"('어떡해', 1)","('당하면', 1)","('아니지만', 1)","('대단함', 1)"
"('다르네', 1)","('잘생겼고', 1)","('무례하다니', 1)","('그러네', 1)","('따뜻하게', 1)","('딱히', 1)","('답답하다', 1)","('같았고', 1)",,,"('불안하기도', 1)","('그러는줄', 1)","('그러네', 1)","('귀여워', 1)"
"('행복하자', 1)","('예쁘다', 1)","('당할', 1)","('강한거', 1)","('환생해도', 1)","('무서운데', 1)","('의하면', 1)","('없지', 1)",,,"('미친거아냐', 1)","('가까워', 1)","('이런거', 1)","('끼부리네', 1)"
"('좋아하다', 1)","('미치겠다', 1)","('위험함', 1)","('빡침', 1)","('흡사한데', 1)","('무섭니', 1)","('유사한', 1)","('없어', 1)",,,"('억울함을', 1)","('없듯이', 1)","('있음', 1)","('나쁘진', 1)"
"('편하려고', 1)","('좋아한다', 1)","('꾸준히', 1)","('지겨워요', 1)","('아니냐잔', 1)","('이쁘', 1)","('다른건', 1)","('이쁨', 1)",,,"('완전히', 1)","('숨막힌', 1)","('빠른', 1)","('환하게', 1)"
"('부였다면', 1)","('잘생겼네', 1)","('어지간해서', 1)","('무서운', 1)","('비슷합니다', 1)","('대단한', 1)","('좋을', 1)","('있냐고', 1)",,,"('괴로워서', 1)","('심하게', 1)","('작은', 1)","('아깝지', 1)"
"('이렇', 1)","('궁금해지잖아요', 1)","('싫다는', 1)","('재미없음', 1)","('끈질긴', 1)","('행복해지는', 1)","('인해', 1)","('행복하게', 1)",,,"('어렵지만', 1)","('적당히', 1)","('하찮고', 1)","('설레', 1)"
"('재밌었던', 1)","('같으니까', 1)","('그러는지', 1)","('불쌍하지', 1)","('있었고', 1)","('기대하는', 1)","('아파', 1)","('어려운', 1)",,,"('강해진건', 1)","('그러니', 1)","('귀여워', 1)","('심쿵해', 1)"
"('없었던거', 1)","('미치겠네', 1)","('답답하다', 1)","('체념하고', 1)","('강해지는', 1)","('성장했음', 1)","('낑겨서', 1)","('안타까', 1)",,,"('강해질', 1)","('아니라니까', 1)","('사랑스러워', 1)","('설레는', 1)"
"('힘든', 1)","('아닌데', 1)","('귀엽고', 1)","('까만', 1)","('아니였냐', 1)","('미친', 1)","('하애진', 1)","('없는건', 1)",,,"('시를', 1)","('아니어도', 1)","('그런거', 1)","('이쁘네', 1)"
"('미친게', 1)","('미쳤네', 1)","('단순히', 1)","('비슷했었음', 1)","('분명히', 1)","('완전한', 1)","('희나', 1)","('안되는거', 1)",,,"('있을지가', 1)","('없어', 1)","('덜한거', 1)","('순수한', 1)"
"('대단하다', 1)","('무서운', 1)","('미치게', 1)","('있었음', 1)","('강력한', 1)","('없어서', 1)","('박정하', 1)","('싫어서', 1)",,,"('한심하다는', 1)","('새로', 1)","('있지만', 1)","('좋았던', 1)"
"('아닌게', 1)","('이런거', 1)","('설렌다는', 1)","('비슷하다는', 1)","('아니었구나', 1)","('그런거였음', 1)","('힘들었', 1)","('괴로워하며', 1)",,,"('같에', 1)","('없냐', 1)","('그러기', 1)","('아님', 1)"
"('아팠었음', 1)","('좋아해', 1)","('커다란', 1)","('없는데', 1)","('많던데', 1)","('강하고', 1)","('환생함', 1)","('젊은', 1)",,,"('불안하고', 1)","('있냐', 1)","('잔잔하고', 1)","('재미있어질', 1)"
"('완벽할', 1)","('조아여', 1)","('같으니라고', 1)","('많음', 1)","('다른거', 1)","('똑똑하다는게', 1)","('낮았는데', 1)","('불행하게만', 1)",,,"('없었던', 1)","('무능하니까', 1)","('둥글둥글해요', 1)","('급하게', 1)"
"('없다는', 1)","('좋겠네요', 1)","('있다구', 1)","('많던데', 1)","('벙하게', 1)","('아리송한', 1)","('야할거', 1)","('행복하지도', 1)",,,"('비장한데', 1)","('있을거', 1)","('이런건', 1)","('중요하다는것', 1)"
"('예뻐서', 1)","('없어', 1)","('좋아하는게', 1)","('그런듯', 1)","('아니었냐', 1)","('그러다', 1)","('슬프다', 1)","('원하는거', 1)",,,"('더워서', 1)","('좋든', 1)","('아기자기한게', 1)","('가능하지만', 1)"
"('없을것', 1)","('야할텐데', 1)","('이상함', 1)","('아닌거', 1)","('반했네', 1)","('귀찮은', 1)","('힘차이', 1)","('원망하게', 1)",,,"('불쌍해', 1)","('싫든', 1)","('좋네요', 1)","('잘생긴', 1)"
"('차가운', 1)","('완벽한데', 1)","('다정하네', 1)","('쎄진거면', 1)","('없다니', 1)","('아니래요', 1)","('전화한', 1)","('행복하고', 1)",,,"('그럴', 1)","('빡쳐하는', 1)","('좋고', 1)","('넓은', 1)"
"('있었지만', 1)","('좋다니', 1)","('좋아해도', 1)","('답답했는데', 1)","('흥미롭네', 1)","('편안해', 1)","('높은', 1)","('더러워서', 1)",,,"('없다는', 1)","('분명한데', 1)","('따뜻해지는', 1)","('이럴', 1)"
"('좋아했지만', 1)","('명석한', 1)","('좋아하게', 1)","('이쁨', 1)","('삐진듯', 1)","('무리하는', 1)","('멋있는', 1)","('박복하기만', 1)",,,"('담담한', 1)","('냉정하게', 1)","('똑같네', 1)","('같았어', 1)"
"('스럽다', 1)","('원합니다', 1)","('무지해서', 1)","('이쁘다', 1)","('안되서', 1)","('아프다', 1)","('미안한데', 1)","('대단하게', 1)",,,"('슬프냐', 1)","('있을테니', 1)","('있을텐데', 1)","('잘생긴거아니냐', 1)"
"('당하면', 1)","('분명한', 1)","('좋겠네요', 1)","('넘친다', 1)","('저렇고', 1)","('뛰어나도', 1)","('멋있다', 1)","('있는건데', 1)",,,"('궁금하', 1)","('같지는', 1)","('있었는데', 1)","('있네', 1)"
"('부럽다고', 1)","('성장할거', 1)","('안타깝다', 1)","('쎈거고', 1)","('있겠네', 1)","('다르다는', 1)","('훌륭하게', 1)","('그럼에도', 1)",,,"('편해', 1)","('있겠단', 1)","('똑같은', 1)","('그럴', 1)"
"('당할', 1)","('귀엽게', 1)","('다르게', 1)","('있지만', 1)","('정신차린게', 1)","('똑똑하니까', 1)","('대단함', 1)","('찡하다', 1)",,,"('똑같아요', 1)","('같기는', 1)","('불쌍해서', 1)","('없겠지만', 1)"
"('서운한거나', 1)","('있네요', 1)","('있었으면', 1)","('부족했기', 1)","('아니었고', 1)","('당연하지', 1)","('아쉽겠다', 1)","('착하다', 1)",,,"('원망하고있을텐데', 1)","('미쳤냐고', 1)","('좋은', 1)","('좋을지', 1)"
"('스럽고', 1)","('위험해', 1)","('행복했으', 1)","('약해도', 1)","('착해서가아니라', 1)","('당했을', 1)","('있을거', 1)","('어땠다고', 1)",,,"('궁금하네요', 1)","('민감해', 1)","('아닐텐데', 1)","('짠해', 1)"
"('싫어했', 1)","('싫어하고', 1)","('엄청난', 1)","('우세하다', 1)","('있겠네요', 1)","('무서워', 1)","('단련하고', 1)","('씁쓸하게', 1)",,,"('낮은', 1)","('있을테니까', 1)","('좋아하는데', 1)","('멋있어서', 1)"
"('황당하지', 1)","('싫어합니다', 1)","('싫었던거겠죠', 1)","('강력할듯', 1)","('있었던거야', 1)","('있다는', 1)","('없던거', 1)","('괜찮다고하는데', 1)",,,"('좋았어요', 1)","('방심했다고', 1)","('많은', 1)","('멋있게', 1)"
"('같냐', 1)","('괜찮다는', 1)","('고통스러워서', 1)","('뿐임', 1)","('훌륭한', 1)","('있거나', 1)","('나쁘고를', 1)","('슬픈게', 1)",,,"('대단하고', 1)","('같았으면', 1)","('좋을듯', 1)","('스럽다', 1)"
"('흔하지', 1)","('이쁘', 1)","('힘든데', 1)","('강렬했지', 1)","('안된다는', 1)","('귀찮음', 1)","('있으니', 1)","('없다니', 1)",,,"('냉철함', 1)","('약한', 1)","('다르고', 1)","('그래요', 1)"
"('아니니깐', 1)","('계시는데', 1)","('서러웠을지도', 1)","('없었잖아', 1)","('강한거야', 1)","('피곤함', 1)","('있는데서', 1)","('끔찍하군요', 1)",,,"('무서울', 1)","('성공해도', 1)","('어때요', 1)","('있죠', 1)"
"('좋아했겠네', 1)","('괜찮지', 1)","('고통스러운', 1)","('깊숙하게', 1)","('다르네', 1)","('무섭다는', 1)","('똑같네', 1)","('불안해', 1)",,,"('강했던거야', 1)","('분노한', 1)","('이렇게요', 1)","('실망했을까요', 1)"
"('정확히', 1)","('좋아요', 1)","('스러웠을지도', 1)","('큼직하게', 1)","('쎈지는', 1)","('놀라웠던', 1)","('귀엽다', 1)","('힘들거', 1)",,,"('용해주고', 1)","('의해', 1)",,"('새로', 1)"
"('불안하네', 1)","('건강하게', 1)","('고결하고', 1)","('심심하게', 1)","('강하다고', 1)","('안좋게', 1)","('필요하다', 1)","('안되네요', 1)",,,"('위험하며', 1)","('있기에', 1)",,"('단순히', 1)"
"('똑같네', 1)","('좋겠어요', 1)","('심하게', 1)","('좋이', 1)","('강했던거지', 1)","('아니었잖아요', 1)","('아니여서', 1)","('뿐이라고요', 1)",,,"('있을시', 1)","('아닌데', 1)",,"('야해요', 1)"
"('그만하', 1)","('아련하', 1)","('완전히', 1)","('나쁘지', 1)","('강함을', 1)","('어떤', 1)","('간단했을텐데', 1)","('안되더라도', 1)",,,"('없을지도', 1)","('신기합니다', 1)",,"('아닌게', 1)"
"('더러운', 1)","('어떡해', 1)","('없을', 1)","('많아', 1)","('이상할', 1)","('귀찮다고', 1)","('낮은게', 1)","('있었네요', 1)",,,"('쓸모없는', 1)","('이상한', 1)",,"('많죠', 1)"
"('많았는데', 1)","('있겠네요', 1)","('확실히', 1)","('빠르', 1)","('없음', 1)","('무섭다니', 1)","('안쓰럽다', 1)","('힘들', 1)",,,"('유쾌하시네', 1)","('있는게', 1)",,"('그만해주세요', 1)"
"('아니잖어', 1)","('짠하다', 1)","('착잡해하는', 1)","('그러지', 1)","('용이한테도', 1)","('무서울텐데', 1)","('좋아서', 1)","('많다는', 1)",,,"('미쳤다', 1)","('자세히', 1)",,"('있단다', 1)"
"('피곤하겠다', 1)","('아녔어요', 1)","('그렇게나', 1)","('이런거', 1)","('아름다운', 1)","('무섭다니깐', 1)","('조용하고', 1)","('아닙니다', 1)",,,"('불안해', 1)","('당연한거', 1)",,"('같던데', 1)"
"('예민한거고', 1)","('즐거운', 1)","('행복해질', 1)","('싫으면', 1)","('아니라면서', 1)","('아픈거니', 1)","('작은', 1)","('좋아하는지도', 1)",,,"('소소한', 1)","('징징대는', 1)",,"('그런거', 1)"
"('쿨한', 1)","('좋고', 1)","('스럽다', 1)","('궁금하네요', 1)","('회복하고', 1)","('적응한', 1)","('분명히', 1)","('한심해', 1)",,,"('없지만', 1)","('슬프네', 1)",,"('싫다', 1)"
"('뒤늦은', 1)","('아프지마', 1)","('멀쩡한', 1)","('분노함', 1)","('포악하고', 1)","('침착한거야', 1)","('있었어도', 1)","('아프니까', 1)",,,"('강화해', 1)","('약하다', 1)",,"('안되냐', 1)"
"('있을꺼', 1)","('미친거아니에', 1)","('왠만한', 1)","('심각한', 1)","('수많은', 1)","('같다는', 1)","('있었을텐데', 1)","('심각함', 1)",,,"('귀엽자', 1)","('없을듯', 1)",,"('그럴거면', 1)"
"('힘들었구나', 1)","('확실해', 1)","('좋았지만', 1)","('있는거', 1)","('나쁘지', 1)","('없냐고', 1)","('멋지다', 1)","('같을듯', 1)",,,"('쎘던거야', 1)","('완전한', 1)",,"('미쳤다', 1)"
"('이럴지', 1)","('똑같은', 1)","('예쁜게', 1)","('가벼운', 1)","('사악해진', 1)","('약하지', 1)","('많았어서', 1)","('슬프네', 1)",,,"('대단한', 1)","('중요하지', 1)",,"('안좋게', 1)"
"('싫은거', 1)","('심각한데', 1)","('가볍고', 1)","('원하지', 1)","('단정하시는', 1)","('힘들어', 1)","('추하겠네', 1)","('미안하면', 1)",,,"('당하는', 1)","('없으니깐', 1)",,"('잘난', 1)"
"('섭섭해', 1)","('귀엽', 1)","('가벼우니', 1)","('있게', 1)","('저렇지', 1)","('없는거', 1)","('당하는거', 1)","('그랬어', 1)",,,"('빡치고', 1)","('쓸데없는', 1)",,"('심했겠네', 1)"
"('돈독해졌으면해', 1)","('그럴듯해', 1)","('괴로울', 1)","('있을텐데', 1)","('온화한', 1)","('아파주면', 1)","('고소하지', 1)","('좋아하는건데', 1)",,,"('가능하지', 1)","('가득한', 1)",,"('소중한', 1)"
"('무심하고', 1)","('둥글둥글하고', 1)","('없으니까', 1)","('충분히', 1)","('그렇구요', 1)","('안될까', 1)","('당해서', 1)","('불쌍한게', 1)",,,"('당연히', 1)","('무겁다고', 1)",,"('그렇다', 1)"
"('조졌다', 1)","('없었지', 1)","('가벼운', 1)","('재밌고', 1)","('궁금한', 1)","('귀여운거냐고', 1)","('있던시', 1)","('좋아하는건', 1)",,,"('빡치지', 1)","('쎄졌는데', 1)",,"('아니란', 1)"
"('신기하더라', 1)","('암울해지는것', 1)","('고통스러울것', 1)","('힘들어요', 1)","('당했다고', 1)","('좋은데', 1)","('좋아했었는데', 1)","('착한게', 1)",,,"('빡치면', 1)","('다른건', 1)",,"('안타까', 1)"
"('미안하다', 1)","('작앗구나', 1)","('같긴', 1)","('깊으신', 1)","('있었다고', 1)","('멋진', 1)","('기대해', 1)","('아닌데', 1)",,,"('분노하진', 1)","('재미없어서', 1)",,"('그랬을까', 1)"
"('새로운', 1)","('없음', 1)","('어렵다', 1)","('재미없다', 1)","('무섭습니다', 1)","('자비로운데', 1)","('아무런', 1)","('빡쳤는데', 1)",,,"('짠함', 1)","('끝내주게', 1)",,"('그러지', 1)"
"('같던', 1)","('귀엽다는데', 1)","('필요한', 1)","('당연한', 1)","('아프다는걸', 1)","('미안해서', 1)","('당하는데도', 1)","('말라', 1)",,,"('변하는', 1)","('만만히', 1)",,"('이렇지', 1)"
"('없는거', 1)","('많아', 1)","('어이없는게', 1)","('없으면', 1)","('이쁘네', 1)","('섬세해', 1)","('무자비하게', 1)","('답답함', 1)",,,"('불쌍하기도', 1)","('있었을', 1)",,"('그랬거든요', 1)"
"('좋아한게', 1)","('아니라서', 1)","('두렵지', 1)","('재미없네', 1)","('이뻐', 1)","('대단하구나', 1)","('심하게', 1)","('행복하지', 1)",,,"('멋있고', 1)","('그럴', 1)",,"('똑같지만', 1)"
"('없는줄', 1)","('자랑스러운', 1)","('이래놓고', 1)","('건전하게', 1)","('비슷하고', 1)","('괜찮구', 1)","('길어', 1)","('떳떳하게', 1)",,,"('행복해져라', 1)","('없구요', 1)",,"('고운이', 1)"
"('대단해', 1)","('예리하시네', 1)","('짜증나', 1)","('부수면서', 1)","('흡사하죠구', 1)","('싫어하는', 1)","('까만', 1)","('아니면서', 1)",,,"('이랬', 1)","('그러냐', 1)",,"('이쁨', 1)"
"('착했네', 1)","('멍청하게', 1)","('있구나', 1)","('잘생긴것', 1)","('같은데요', 1)","('마지못해', 1)","('안쓰러워', 1)","('짜증나고', 1)",,,"('아닌줄', 1)","('중요하고', 1)",,"('멋진건데', 1)"
"('안타깝', 1)",,"('안되는데', 1)","('빨간', 1)","('이상하지', 1)","('망하라고', 1)","('어떡함', 1)","('없음', 1)",,,"('없게', 1)","('마른', 1)",,"('있었으면', 1)"
"('좋아했네', 1)",,"('속상해요', 1)","('있겠지', 1)","('답답한', 1)","('싸하긴', 1)","('멋져', 1)","('필요한', 1)",,,"('미개한', 1)","('있었는지', 1)",,"('그런듯', 1)"
"('불쌍해', 1)",,"('극명히', 1)","('짜증남', 1)","('있다고만', 1)","('확실해졌네요', 1)","('섹시하다', 1)","('아니였으면', 1)",,,"('둔감한', 1)","('당했는지', 1)",,"('착함', 1)"
"('화해도', 1)",,"('야하는', 1)","('강했다', 1)","('강함으로', 1)","('어렵고', 1)","('그런지', 1)","('아까운건', 1)",,,"('같나', 1)","('궁금하고', 1)",,"('낮은', 1)"
"('확실해지고', 1)",,"('아무렇지', 1)","('불쌍한', 1)","('높음', 1)","('유능한', 1)","('있는가에', 1)","('아니야', 1)",,,"('딴딴히', 1)","('있다고', 1)",,"('있었', 1)"
"('불안해', 1)",,"('당해놓고도', 1)","('있는대서', 1)","('따뜻하지만', 1)","('더러운', 1)","('완벽한', 1)","('그러네', 1)",,,"('약하겠지', 1)","('심히', 1)",,"('엄청난', 1)"
