싱글맘맘이야,여우자매,대학원 탈출일지,오사와 오폐수들,저승파견고용직,우리 카페 사장님이 이상하다,"괜찮아, 고3이야",우리집 강아지는 복슬강아지,지극히 평범한 생활,아빠는 N살,낮잠 자는 사람들,깜빡깜빡,루텔,구나의 그랬구나,아스테리스크,아오링도쿄,잔액이 부족합니다,운명...인가요?,발버둥치다,국제결혼개그만화,실험학교,오늘을 담다.,방구석수필,좀비 패밀리,(Old)악마법소녀,서툴고 어리숙해도 좋아하는,정령왕즈,쿤도덥브라더스,생각보다 잘 자랐습니다,몬스터 커맨더F,생존일지,시크릿가족,무엇이든 그려드립니닷!,카나와 초나의 독일,그래도 하루는,죽음과 동화,감각의 어빌러티,천상대전,AI폰 아리랑,채채쓰의 웃픈일기,방에 콕! 진댕,무존재감
"('정겹고', 2)","('아닐까', 4)","('분명히', 1)","('신날듯', 1)","('고맙습니다', 2)",,"('있네요', 3)","('괜찮은', 1)","('더운데', 1)",,"('그랬으려니', 2)","('작아서', 2)","('멋있어요', 2)","('멋지고', 2)","('망한다', 1)","('좋습니다', 2)","('귀여운거', 1)","('있답니당', 2)","('좋았어요', 4)","('뻔했어요', 2)","('궁금하네요', 2)","('힘들었던', 2)","('있지요', 2)","('미쳤다', 1)","('힘들', 4)","('쎄하긴', 1)","('안됨', 2)","('슬픕니다', 2)","('괜찮다면', 2)","('즐거웠고', 2)","('아님', 1)","('단순히', 2)","('불안하고', 2)","('인해', 2)","('어둡게', 2)","('예쁘네요', 2)","('대단하다', 1)","('자연스러운거니까', 2)","('불쌍해', 1)","('소소하더라도', 1)",,
"('재밌고', 2)","('아쉽네요', 4)","('이상한것', 1)","('있을듯', 1)","('아름다우신', 2)",,"('슬퍼요', 3)","('어느새', 1)","('궁금하고', 1)",,"('불편하게', 2)","('먼가', 2)","('미안해', 2)","('슬플거', 2)","('성공하기를', 1)","('안타깝네요', 1)","('괜찮습니다', 1)","('귀여운거', 2)","('예쁜', 4)","('재밌', 2)","('안좋게', 2)","('잔잔하고', 2)","('괜찮아요', 2)","('멋져요', 1)","('아님', 4)","('반갑네요', 1)","('유사하네요', 2)","('힘차게', 2)","('헷갈리지', 2)","('다양한', 2)","('없다', 1)","('아닌가요', 2)","('어렵다고', 2)","('변해가고', 2)","('아닌거라는', 2)","('미친듯이', 2)","('노래있는데', 1)","('안되요', 2)","('넓은', 1)","('뿌듯해하기', 1)",,
"('멋지십니다', 2)","('아닌거', 4)","('아리는', 1)","('앙큼하시네요', 1)","('슬프네', 2)",,"('같은거', 3)","('미쳤기', 1)","('같은것', 1)",,"('어떤', 2)","('멋져요', 2)","('아닙니다', 2)","('기대할게요', 2)","('기뻐서', 1)","('진정한', 1)","('궁금한', 1)","('아니냐고', 2)","('좋고', 4)","('이뻐여', 1)","('뿐이였다고', 2)","('서운하면서도', 2)","('안좋는', 2)","('착실해', 1)","('착한', 4)","('재밌음', 1)","('같으면서', 2)","('있겠죠', 2)","('미치는', 2)","('버겁습니다', 2)","('필요할', 1)","('그러는데', 2)","('어떡하죠', 2)","('괴로워서', 2)","('담담하지만', 2)","('행복하셨으면', 2)","('더한', 1)","('좋겠어요', 2)","('좋네요', 1)","('스러워요', 1)",,
"('유쾌하고', 2)","('궁금해서', 4)","('귀엽다이거에', 1)","('재밌구', 1)","('굉장히', 2)",,"('좋겠네요', 3)","('그러니', 1)","('재미있네요', 1)",,"('아니까', 2)","('흔한', 2)","('그렇죠', 2)","('같아여', 2)","('고귀하신', 1)","('착한', 1)","('싫으면', 1)","('짜증나네', 2)","('많으셨습니다', 4)","('이쁜듯', 1)","('아닌거죠', 2)","('기쁜', 2)","('재밌네요', 2)","('미치겠네요', 1)","('있지', 4)","('시원시원한게', 1)","('조그맣던', 2)","('미워하되', 2)","('똑같은', 2)","('간단한', 2)","('변한건', 1)","('있죠', 2)","('없었던', 2)","('씩씩하게', 2)","('없이는', 2)","('예쁘자', 2)","('재밌네요', 1)","('징징대지', 2)","('예뻤다', 1)","('좋지', 1)",,
"('잘났다', 2)","('있냐', 4)","('재밌어여', 1)","('소중해', 1)","('원하는', 2)",,"('있나여', 3)","('귀여운데', 1)","('어때요', 1)",,"('맛있죠', 2)","('슬픈데', 2)","('유일한', 2)","('부드럽', 2)","('있겠습니까', 1)","('있다면', 1)","('불편해', 1)","('좋겠어요', 2)","('무섭죠', 4)","('예쁜데', 1)","('미쳐서', 2)","('기뻐요', 2)","('있죠', 2)","('차졌습니다', 1)","('없지', 4)","('있었으면', 1)","('있었던', 2)","('미워하지말라', 2)","('행복하다면', 2)","('가능합니다', 2)","('좋군요', 1)","('역겹다', 2)","('기뻐하실거에요', 2)","('만족하는게', 2)","('중요한지', 2)","('행복하', 2)","('좋았으면', 1)","('많으니까', 2)","('든든한', 1)","('많은', 1)",,
"('있냐', 2)","('같아서', 4)","('무서운데', 1)","('많아가지고', 1)","('있음', 2)",,"('좋아하시나요', 3)","('귀엽잖아요', 1)","('없다', 1)",,"('그러', 2)","('슬퍼', 2)","('없는건', 2)","('앙증맞은', 2)","('없으시니', 1)","('아픕니다', 1)","('아닙니까', 1)","('있을지', 2)","('같다고', 4)","('근엄해', 1)","('당함', 2)","('건강하세용', 2)","('재밌게', 2)","('연하고', 1)","('중요합니다', 4)","('친했는데', 1)","('잘생겼지만', 2)","('건강하게', 2)","('충분히', 2)","('편하게', 2)","('가능하고', 1)","('드러져라', 2)","('미안하', 2)","('아녀요', 2)","('있게', 2)","('미친다', 2)","('행복해하고', 1)","('신선한', 2)","('따뜻한', 1)","('행복해', 1)",,
"('멋집니다', 2)","('궁금합니다', 4)","('어떤가', 1)","('용감함과', 1)","('뻔하니까', 2)",,"('있죠', 3)","('있는게', 1)","('있게', 1)",,"('배고파서', 2)","('허무할', 2)","('비슷한', 2)","('어느새', 2)","('없겠지요', 1)","('아까워서', 1)","('창피하지도', 1)","('궁금한', 2)","('따뜻하게', 4)","('신기하당', 1)","('있었어', 2)","('많은', 2)","('많나', 2)","('멋있고', 1)","('가능한', 4)","('뒤늦게', 1)","('그렇습니다', 2)","('있다가', 2)","('가능한', 2)","('완벽하다', 2)","('있죠', 1)","('쓸모없고', 2)","('후련하게', 2)","('원하는', 2)","('솔직히', 2)","('부탁드립니당', 2)","('부탁드립니다', 1)","('미쳤다', 2)","('깔끔하긴한데', 1)","('높은', 1)",,
"('스러워요', 2)","('없었는데요', 4)","('오싹해', 1)","('앙큼하신', 1)","('안타깝기만', 2)",,"('즐거웠어요', 3)","('아닌가용', 1)","('같은걸', 1)",,"('궁금하잖아요', 2)","('힘들고', 2)","('아쉽고', 2)","('재밌어용', 2)","('신난다는', 1)","('있지만', 1)","('그런것', 1)","('뻔한', 2)","('있어도', 4)","('빵터졌는데', 1)","('없는데', 2)","('예뻐요', 2)","('담담한데', 2)","('귀여우시다', 1)","('멋져요', 4)","('안되는', 1)","('위대한', 2)","('어떤', 2)","('꾸준히', 2)","('아니네', 2)","('그리웠', 1)","('더럽게', 2)","('그리워하는데', 2)","('궁금했는데', 2)","('불편하다면', 2)","('무리하지', 2)","('있었구나', 1)","('쎄네', 2)","('좋은', 1)","('강렬하게', 1)",,
"('심심해서', 2)","('설레네', 3)","('무례하다는', 1)","('좋아할줄', 1)","('다르지', 2)",,"('꾸준히', 3)","('싫어', 1)","('행복하세요', 1)",,"('있다는게', 2)","('그리운', 2)","('안될까', 2)","('아니았군요', 2)","('못지않은', 1)","('인해', 1)","('조질', 1)","('같구', 2)","('고맙습니다', 4)","('아프지말고', 1)","('있냐', 2)","('편안한', 2)","('은은하게', 2)","('뿌듯해하는', 1)","('사소한', 4)","('그런거', 1)","('아니까', 2)","('행복해질', 2)","('건강해져요', 2)","('있을까요', 2)","('이런거', 1)","('한심한', 2)","('환하게', 2)","('단단해질', 2)","('있단', 2)","('있으니', 2)","('있던거가', 1)","('확실해', 2)","('같아용', 1)","('재밌어요', 1)",,
"('같네라니', 2)","('재미있어용', 3)","('무섭게', 1)","('그렇다면', 1)","('아니었네요', 2)",,"('미치는줄', 2)","('이뻐라', 1)","('아프면', 1)",,"('부러워여', 2)","('수많은', 2)","('즐겁게', 2)","('아닌데', 2)","('기쁩니다', 1)","('있으니', 1)","('죄송하고', 1)","('참신한', 2)","('여전히', 4)","('건강해라', 1)","('빠른', 2)","('가득하시길', 2)","('훌륭하신', 2)","('뿌듯해', 1)","('고마워', 4)","('좋아한단', 1)","('딱히', 2)","('아니야', 2)","('아파도', 2)","('없는게', 2)","('재밌당', 1)","('있다지만', 2)","('좋아요', 2)","('중요한것', 2)","('섬뜩해요', 2)","('행복하시길', 2)","('아닌데', 1)","('가득하시길', 2)","('나쁘지', 1)","('높은게', 1)",,
"('귀여워요', 2)","('충분히', 3)","('당당하게', 1)","('없어요', 1)","('있는건', 2)",,"('많아', 2)","('좋음', 1)","('무리하지', 1)",,"('엄청나게', 2)","('아쉽다', 2)","('안됩니다', 2)","('무섭다고', 2)","('재밌어질', 1)","('속상할', 1)","('안되는', 1)","('같아용', 2)","('괜찮게', 4)","('잘생겼다', 1)","('안타까운', 2)","('좋게', 2)","('성실하니까', 2)","('재미있게', 1)","('귀여워', 4)","('있는게', 1)","('원했다는', 2)","('귀엽당', 2)","('아픈지', 2)","('많으면', 2)","('재밌을거', 1)","('올바르게', 2)","('야한다', 2)","('같은거를', 2)","('아니였고', 2)","('있기', 2)","('뻔했어요', 1)","('좋긴', 2)","('힘들어', 1)","('편하겠는데', 1)",,
"('같아여', 2)","('있었으면', 3)","('안될', 1)","('없었', 1)","('쎄한', 2)",,"('빠르면', 2)","('많은데', 1)","('괜찮아요', 1)",,"('복스럽고', 2)","('그렇', 2)","('야해요', 2)","('가까우려면', 2)","('없겠지', 1)","('많았어요', 1)","('간단하잖아', 1)","('싫은것도', 2)","('아니다', 4)","('이뻐요', 1)","('갑작스러운', 2)","('몽글몽글해지는', 2)","('건강하시길', 2)","('귀여운듯', 1)","('안될까', 3)","('좋을것', 1)","('안되나요', 2)","('귀엽습니다', 2)","('아프다', 2)","('슬픈데', 1)","('같음', 1)","('미쳐서', 2)","('아니지만', 2)","('오래된', 2)","('아프다면', 2)","('죄송해요', 2)","('스러워졌네요', 1)","('길다', 2)","('귀여워요', 1)","('갑갑하게', 1)",,
"('귀엽지만', 2)","('없으면', 3)","('없네요', 1)","('아니냐구', 1)","('있다고', 2)",,"('친한', 2)","('진정한', 1)","('좋아요', 1)",,"('맛있는', 2)","('쌩쌩하던', 2)","('좋아여', 2)","('없네여', 2)","('그러니', 1)","('잔잔히', 1)","('이런거', 1)","('아닙니다', 2)","('있으니까', 4)","('이쁜아기', 1)","('심각한', 2)","('많지만', 2)","('올바른', 2)","('평온한', 1)","('많으십니다', 3)","('친하게', 1)","('귀여운데', 2)","('시기해요', 2)","('어려워서요', 2)","('아쉽네요', 1)","('단단히', 1)","('많아서', 2)","('이뻐', 2)","('편안하고', 2)","('힘들테니까', 2)","('멋진', 2)","('가볍게', 1)","('아쉽', 2)","('귀엽네', 1)","('아닌가요', 1)",,
"('대단하셔요', 2)","('아닌데에서', 3)","('저래요', 1)","('있는거', 1)","('많았을듯', 2)",,"('반가워요', 2)","('있으시줘', 1)",,,"('많으', 2)","('계십니다', 2)","('그러네', 2)","('입니당', 2)","('같았어요', 1)","('고였어요', 1)","('있는게', 1)","('좋을', 2)","('그리웠어요', 4)","('드문데', 1)","('너그러운', 2)","('사소하게', 2)","('계신가', 2)","('행복하게하', 1)","('있나', 3)","('좋아한다는', 1)","('차갑고', 2)","('착해', 2)","('같았는데', 2)","('재미있었습니다', 1)","('안되는게', 1)","('있어야', 2)","('징징거려', 2)","('없지', 2)","('아프길', 2)","('위대한', 2)","('없지', 1)","('없겠지만', 2)","('아픈', 1)","('아니다', 1)",,
"('무서워서', 2)","('좋지', 3)","('귀엽네요', 1)","('대단하네요', 1)","('아니야', 2)",,"('재밌어요', 2)","('재밌어요', 1)",,,"('미었군요', 2)","('입워', 2)","('어떠세요', 2)","('추워서', 2)","('새로', 1)","('무심했던', 1)","('편할수가', 1)","('있어도', 1)","('힘들다고', 4)","('아련해', 1)","('부탁드립니다', 2)","('아쉬워서요', 2)","('건강한', 2)","('행복하셔야', 1)","('괜찮으니', 3)","('있었을', 1)","('정확히는', 2)","('좋아하는', 2)","('건강하세요', 2)","('소중한', 1)","('재밌디', 1)","('안될까', 2)","('그러지못하는', 2)","('편해졌어요', 2)","('어떤지', 2)","('궁금해요', 2)","('강력하게', 1)","('아쉬운', 2)","('친절한', 1)","('놀래셨겠', 1)",,
"('있었던가', 2)","('재밌는', 3)","('아니냐구요', 1)","('좋아하신다고', 1)","('있구나', 2)",,"('당연히', 2)","('없음', 1)",,,"('많으셨네요', 2)","('계십에도', 2)","('궁금했는데', 2)","('순수하네', 2)","('있나', 1)","('무사히', 1)","('없으신', 1)","('아닐', 1)","('건강하게', 4)","('신기할', 1)","('힘든', 2)","('아쉽긴', 2)","('뜨거워', 2)","('행복해져요', 1)","('고마워요', 3)","('없는거', 1)","('있다고', 2)","('괜찮으신', 2)","('아닌가', 2)","('같잖아요', 1)","('고있는데', 1)","('이상한', 2)","('잘생긴', 2)","('멋진', 2)","('건강할리', 2)","('있게', 2)","('같음', 1)","('같에요', 2)","('딱히', 1)","('있었나', 1)",,
"('훌륭한', 2)","('귀엽다아', 3)","('그랬던', 1)","('야한다고', 1)","('기대합니다', 2)",,"('기뻐요', 2)","('야함', 1)",,,"('있으시나요', 2)","('환하게', 2)","('건강하신가요', 2)","('무심한것', 2)","('야할', 1)","('진한', 1)","('더운', 1)","('없으니까', 1)","('새로운', 4)","('귀엽', 1)","('그렇지', 2)","('슬프네요', 2)","('있으시겠지만', 2)","('사랑스럽다', 1)","('인해', 3)","('그러지', 1)","('차갑기만', 2)","('이뿌', 2)","('더군요', 2)","('진정한', 1)","('무서운거', 1)","('강하게', 2)","('이상해요', 2)","('굉장히', 2)","('심했어요', 2)","('부탁드립니다', 2)","('좋다', 1)","('부담스럽냐', 2)","('같았나', 1)","('입나', 1)",,
"('심하군요', 2)","('아닌지', 3)","('하찮고', 1)","('재밌답니다', 1)","('새로운', 2)",,"('좋으니', 2)","('귀여워여', 1)",,,"('착하셔라', 2)","('무리겠지만', 2)","('아프지', 2)","('이럼', 2)","('이럴수가', 1)","('평범한', 1)","('그럴거면', 1)","('아니져', 1)","('불쌍하다고', 4)","('건강하시길', 1)","('당하는데', 2)","('좋아하시는지', 2)","('소소한', 2)","('재밌어서', 1)","('건강하세요', 3)","('없는데', 1)","('뿐이다라는', 2)","('이뿌다', 2)","('행복하기를', 2)","('궁금해서', 1)","('솔직히', 1)","('안되지', 2)","('계실까', 2)","('멋있어요', 2)","('맑으면', 2)","('있다와', 2)","('좋지', 1)","('입니다잘', 1)","('하얀', 1)","('계신데', 1)",,
"('그러네요', 2)","('있을지', 3)","('귀여운데', 1)","('많군요', 1)","('약한', 2)",,"('소소하게', 2)","('성공하길', 1)",,,"('따뜻해지는', 2)","('식겁했다죠', 2)","('같죠', 2)","('무서운것', 2)","('있기', 1)","('소중하고', 1)","('있다가', 1)","('같은디', 1)","('그런게', 4)","('아닙니', 1)","('착한말', 2)","('출출해지는', 2)","('더하자면', 2)","('기쁜', 1)","('안녕하세요', 3)","('스럽다', 1)","('같진', 2)","('변할수', 1)","('있네요', 2)","('망한', 1)","('같아서', 1)","('없고', 2)","('착한', 2)","('새로운', 2)","('메스껍고', 2)","('그렇잖아요', 2)","('정확한건', 1)","('귀엽다', 1)","('귀여운', 1)","('있으지', 1)",,
"('대단한', 2)","('있었다', 3)","('어떡해요', 1)","('있습니까', 1)","('미친듯이', 2)",,"('미쳤어요', 2)","('건강해', 1)",,,"('귀여워용', 2)","('슬프다', 2)","('예쁘고', 2)","('무섭', 2)","('성공해서', 1)","('특별한지', 1)","('싫어하지만', 1)","('그러는', 1)","('아름다운', 4)","('이뿨요', 1)","('없어요', 2)","('따뜻함이', 2)","('계시던데말이라도', 2)","('좋은', 1)","('많아서', 3)","('있지요', 1)","('아니겠지', 2)","('있답니다', 1)","('가득한', 2)","('불안하게', 1)","('편하게', 1)","('없으니까', 2)","('들떠', 2)","('싫은', 2)","('말라', 2)","('아름답고', 2)","('중요하니까', 1)","('좋겠네요', 1)","('없어여', 1)","('굉장히', 1)",,
"('그지같은', 1)","('안될까', 3)","('명확히', 1)","('힘들지말고', 1)","('아쉽다', 2)",,"('기대할게', 2)","('해롭지', 1)",,,"('많았어요', 2)","('허무하기만', 2)","('신기하네요', 2)","('입니다만', 2)","('미워할거야', 1)","('선량하고', 1)","('옳소', 1)","('재밌어여', 1)","('안좋은', 4)","('뚜렷하네요', 1)","('아니다', 2)","('특별히', 2)","('어느새', 2)","('잘생긴', 1)","('미쳤어', 3)","('그만한', 1)","('기뻐가지고', 2)","('답답하고', 1)","('멍하게', 2)","('그렀게', 1)","('야할듯', 1)","('없다는', 2)","('있다면', 2)","('힘들지만', 2)","('괴로운지', 2)","('길게', 2)","('재밌겠다', 1)","('섹시한거', 1)","('재밌어서', 1)","('민감해서', 1)",,
"('없어', 1)","('좋겠습니다', 3)","('있던것이', 1)","('괜찮아요', 1)","('빡치는데', 2)",,"('그런게', 2)","('힘드시더라도', 1)",,,"('힘들게', 2)","('계실', 2)","('많으셨고', 2)","('싫어요', 2)","('있었으면', 1)","('찡하다', 1)","('많음', 1)","('기대하게', 1)","('같지만', 4)","('예쁘', 1)","('아닌데', 2)","('소소하게', 2)","('있을까요', 2)","('없을', 1)","('아닌데', 3)","('있다는', 1)","('소멸하면', 2)","('안된다며', 1)","('싫다고', 2)","('충분히', 1)","('안될', 1)","('인해', 2)","('없겠습니다', 2)","('당하는', 2)","('있을까요', 2)","('싫어요', 2)","('있었소이다', 1)","('스럽네요', 1)","('재밌어', 1)","('상관없는데', 1)",,
"('건강하기를', 1)","('같으니까', 3)","('대단한', 1)","('없으니까', 1)","('슬픕니다', 2)",,"('당했습니다', 2)","('적응하게', 1)",,,"('새로운', 2)","('많다만', 2)","('다정한', 2)","('징그러운', 2)","('있을께요', 1)","('힘드거였냐', 1)","('어려워', 1)","('아니잖아요', 1)","('있지', 4)","('새롭', 1)","('어지간히', 2)","('궁금한', 2)","('신기해라', 2)","('있던거죠', 1)","('있으니까', 3)","('어떠한', 1)","('짜릿해요', 2)","('없을', 1)","('이쁘게', 2)","('기대하고', 1)","('새로운', 1)","('수많은', 2)","('있겠지요', 2)","('있는것처럼', 2)","('없었을', 2)","('같으니라고', 2)","('예뻐진거', 1)","('귀여워', 1)","('아쉬웠는데', 1)","('힘들게', 1)",,
"('있겠지', 1)","('신나신다는', 3)","('빡쳐서', 1)","('다르', 1)","('아까운', 2)",,"('재미있었습니다', 2)","('조급해하지', 1)",,,"('뻔했어요', 2)","('없단', 2)","('많고', 2)","('똑같은데', 2)","('당하는', 1)","('야할것', 1)","('어렵냐고', 1)","('넓게', 1)","('그럴수도', 4)","('귀여워라', 1)","('좋지만', 2)","('그렇다면', 2)","('부끄러운', 2)","('그러네요', 1)","('이상한', 3)","('있었을지도', 1)","('필요해', 2)","('쎄다고', 1)","('있겠', 2)","('행복했습니다', 1)","('설렌다', 1)","('있도록', 2)","('가능한', 2)","('힘들어지지', 2)","('비슷한데', 2)","('많으', 2)","('재밌어용', 1)","('재밌는거', 1)","('아파', 1)","('딱히', 1)",,
"('괜찮아', 1)","('다른데', 3)","('전화하고', 1)","('궁금했는데', 1)","('빨간', 2)",,"('하찮고', 2)","('귀엽다고요', 1)",,,"('없더라는', 2)","('어떡해요', 2)","('많음', 2)","('예뻐요', 2)","('아니어도', 1)","('아니에요', 1)","('무식한', 1)","('괜찮다고', 1)","('가볍게', 4)","('똑같은데', 1)","('아니라고', 2)","('없으신', 2)","('깔끔한', 2)","('필요하다는거', 1)","('완전히', 3)","('가깝고', 1)","('아니라는', 2)","('좋아', 1)","('어렵', 2)","('예쁜거', 1)","('반갑군', 1)","('유익합니다', 2)","('좋겠어요', 2)","('슬프네요', 2)","('쉬운게', 2)","('있나', 2)","('재미있겠', 1)","('그래놓고', 1)","('아파요', 1)","('없어', 1)",,
"('없어도', 1)","('신나시는', 3)","('아니니', 1)","('얌전했던거군요', 1)","('삐죽이', 2)",,"('부족하죠', 2)","('순수히', 1)",,,"('재밌죠', 2)","('슬펐어요', 2)","('좋아했다면', 2)","('멋져요', 2)","('귀한', 1)","('친하게', 1)","('안될', 1)","('없는거야', 1)","('많아', 4)","('궁금했는데', 1)","('이상한', 2)","('예뻐서', 2)","('없더라구요', 2)","('안되는거', 1)","('깊었어요', 3)","('같지만', 1)","('어떤', 2)","('안되지만', 1)","('편하셔서', 2)","('아닙니까', 1)","('예쁜데', 1)","('없다', 2)","('검은', 2)","('있거든요', 2)","('아니거든요', 2)","('많을', 2)","('부탁드려요', 1)","('미워할', 1)",,"('활발하고', 1)",,
"('없다는데도', 1)","('조아요', 3)","('있는것', 1)","('신선한', 1)","('스럽다', 2)",,"('건강한', 2)","('안좋다네요', 1)",,,"('무사히', 2)","('다르니깐', 2)","('좋겠어요', 2)","('비슷할', 2)","('좋아하는', 1)","('없지만', 1)","('이렇', 1)","('아녀도', 1)","('미친', 4)","('건강하게', 1)","('아무렇지', 2)","('멋진', 2)","('없다는게', 2)","('아닌가', 1)","('그러니', 3)","('있겠네요', 1)","('원했고', 2)","('괜찮을지', 1)","('있었던', 2)","('기대한게요', 1)","('좋다는', 1)","('당할', 2)","('새로', 2)","('힘드셨겠어요', 2)","('미안한데', 2)","('새로운', 2)","('재밌어졌', 1)","('얼큰하다', 1)",,"('있더라고요', 1)",,
"('좋겠네요', 1)","('귀여웠다', 3)","('흔한', 1)","('싫어', 1)","('당하는거', 2)",,"('안되나', 2)","('이렇게나', 1)",,,"('재밌고', 2)","('다를', 2)","('싫은', 2)","('있었지', 2)","('행복합니다', 1)","('많아요', 1)","('있었다', 1)","('있다는', 1)","('힘들죠', 4)","('귀엽다', 1)","('좋테하는', 2)","('행복했습니다', 2)","('섭섭하', 2)","('좋아해요', 1)","('잔잔하게', 3)","('좋을까요', 1)","('많은', 2)","('있거든요', 1)","('없었으니', 2)","('궁금하고', 1)","('재밌습니다', 1)","('아깝네요', 2)","('있겠죠', 2)","('유쾌하지', 2)","('복잡한것', 2)","('아니니', 2)","('행복해요', 1)","('고마워요', 1)",,"('고맙게', 1)",,
"('쓰리가', 1)","('사랑스러운', 3)","('이랬을', 1)","('미친거', 1)","('빠르', 2)",,"('안되겠죠', 2)","('아니라는', 1)",,,"('아픈', 2)","('허무하게', 2)","('힘드시면', 2)","('말똥말똥한', 2)","('힘들어요', 1)","('작은', 1)","('없지만', 1)","('솔직히', 1)","('같지', 4)","('예뻐라', 1)","('쎄면', 2)","('많으셨고', 2)","('신기하기도', 2)","('아픈', 1)","('없었는데', 3)","('아니라고', 1)","('확실히', 2)","('그렇습니다', 1)","('당연함', 2)","('좋겠어요', 1)","('미쳤', 1)","('아니냐', 2)","('없다', 2)","('세련되고', 2)","('무서워요', 2)","('필요하니까', 2)","('좋은가', 1)","('있었는데', 1)",,"('그랬으면', 1)",,
"('적적함이', 1)","('사랑스럽고', 3)","('미치는줄', 1)","('당한거', 1)","('있죠', 2)",,"('입시하면서', 2)","('없죠', 1)",,,"('아프', 2)","('없네요', 2)","('그럴', 2)","('굉장하시네요', 2)","('귀엽네', 1)","('있는게', 1)","('불편할', 1)","('좋긴', 1)","('싫어서', 4)","('그럴', 1)","('빨라', 2)","('없나요', 2)","('웬만한건', 2)","('아파하는거', 1)","('길게', 3)","('재밌군', 1)","('재미있네요', 2)","('조용히', 1)","('낯설으셨나', 2)","('신성한것도', 1)","('멍해지는게', 1)","('아닌거', 2)","('편안하게', 2)","('멀었네요', 2)","('힘들었던', 2)","('어떤', 2)","('아닌가', 1)","('있었습니다', 1)",,"('솔직히', 1)",,
"('씩씩하고', 1)","('안되', 3)","('부족한', 1)","('강한', 1)","('없는게', 2)",,"('철저히', 2)","('재밌고', 1)",,,"('우울할', 2)","('길고', 2)","('싫어요', 2)","('있겠어요', 2)","('재밌', 1)","('좋겠다는', 1)","('좁아서', 1)","('좋은데', 1)","('없으면', 4)","('없었다는거', 1)","('귀엽지', 2)","('슬프지만', 2)","('좋으련만', 2)","('아파하는', 1)","('재밌었어요', 3)","('아니어서', 1)","('미친', 2)","('필요하겠습니다', 1)","('반갑', 2)","('유치한데', 1)","('이뻐요', 1)","('아니까', 2)","('같아서요', 2)","('흰것은', 2)","('없습니다', 2)","('굉장히', 2)","('계신지', 1)","('귀여운거아니냐', 1)",,"('아프고', 1)",,
"('강한', 1)","('좋을', 3)","('없으니', 1)","('잘생기고', 1)","('안된다', 2)",,"('빡치네', 2)","('같은지', 1)",,,"('진솔해서', 2)","('굉장히', 2)","('없으신', 2)","('힘들어요', 2)","('이쁘게', 1)","('훌륭하시다', 1)","('답답해요', 1)","('깊은', 1)","('좋을', 4)","('이쁘니까', 1)","('좋아하는', 2)","('좋으시네요', 2)","('성장해', 2)","('편하겠다', 1)","('재밌어서', 3)","('신선해요', 1)","('이쁘고', 2)","('야합니다', 1)","('슬프', 2)","('성공하냐', 1)","('재미있내요', 1)","('암담합니다', 2)","('지독하게', 2)","('검은것은', 2)","('있다고', 2)","('많습니다', 2)","('짜릿해', 1)","('찰지게', 1)",,"('싫어요', 1)",,
"('없는거냐', 1)","('좋음', 3)","('덜해졌지만', 1)","('장히', 1)","('조으다', 2)",,"('없으면', 2)","('없습니까', 1)",,,"('아린', 2)","('독특한', 2)","('정확히', 2)","('반가워', 2)","('죄송합니다', 1)","('무사하셔', 1)","('많다', 1)","('없다는건', 1)","('괜찮다고', 4)","('이쁘구', 1)","('있으니', 2)","('고마웠습니다', 2)","('선한', 2)","('망하면', 1)","('있답니다', 3)","('재미있을수', 1)","('순수했구나', 2)","('있는줄', 1)","('좋을거', 2)","('그럴', 1)","('재밌어', 1)","('좋겠다는', 2)","('괴롭게', 2)","('그러니', 2)","('없고', 2)","('좋지', 2)","('아니지', 1)","('거대하고', 1)",,"('있었는데', 1)",,
"('조용히', 1)","('재밌어여', 3)","('불쌍함은', 1)","('재밌을듯', 1)","('곤란해', 1)",,"('많았', 2)","('싫다는데', 1)",,,"('재밌다', 2)","('귀엽다', 2)","('아닙니까', 2)","('빵터졌어요', 2)","('같습니다', 1)","('야할텐데', 1)","('없으면', 1)","('없거나', 1)","('똑같아요', 4)","('이쁜', 1)","('좋다', 2)","('갑작스럽게요', 2)","('부탁드립니다', 2)","('같은데요', 1)","('그렇기에', 3)","('아녔음', 1)","('인한거면', 2)","('있지요', 1)","('복잡하죠', 2)","('있겠지', 1)","('좋아서', 1)","('강한', 2)","('친하면서', 2)","('없어요', 2)","('있다는', 2)","('부족한', 2)","('망함', 1)","('강하고', 1)",,"('있나', 1)",,
"('신나는', 1)","('검은', 3)","('바쁘다', 1)","('미치게', 1)","('잘생겼당', 1)",,"('싫어', 2)","('재밌어용', 1)",,,"('있었다면', 1)","('없는걸', 2)","('환장할', 2)","('답답한데', 2)","('피곤해서', 1)","('안전하길', 1)","('낮아서', 1)","('유일한', 1)","('미안해', 4)","('이쁩니다', 1)","('짜릿해', 2)","('아쉬어요', 2)","('각박하다', 2)","('괜찮은데', 1)","('완벽한', 3)","('좋은데', 1)","('안타까워요', 2)","('중요한', 1)","('진정한', 2)","('그런건', 1)","('빨개서', 1)","('야한다는', 2)","('친밀하게', 2)","('있으니', 2)","('젊은나이', 2)","('좋을', 2)","('환장하지', 1)","('설레서', 1)",,"('싫어하던', 1)",,
